회원번호	종목번호	일자	거래수량	거래가격	매매타입
1	068270	2023.03.02	10	130000	1
1	068270	2023.03.02	3	140000	2
1	035420	2023.03.09	12	198200	1
1	000270	2023.03.13	8	70200	1
1	035420	2023.03.14	10	190000	2
1	068270	2023.03.16	2	127000	2
1	207940	2023.03.20	15	760000	1
1	207940	2023.03.24	15	780000	2
1	105560	2023.03.27	5	46000	1
1	000270	2023.03.28	2	70000	2
2	352820	2023.03.03	5	187400	1
2	352820	2023.03.06	3	191800	2
2	010950	2023.03.07	7	84000	1
2	010950	2023.03.08	7	81100	2
2	000720	2023.03.14	5	35500	1
2	000720	2023.03.15	4	37100	2
2	000720	2023.03.16	1	36750	2
2	352820	2023.03.17	2	179400	2
2	066570	2023.03.22	5	114200	1
2	066570	2023.03.23	3	111800	2
2	066570	2023.03.24	2	113000	2
3	005930	2023.03.17	15	91022	1
3	068270	2023.03.02	10	172000	1
3	005930	2023.03.23	10	176000	2
3	005935	2023.03.17	26	69183	1
3	352820	2023.03.24	10	163000	1
3	207940	2023.03.10	3	633000	1
3	005935	2023.03.24	20	61000	2
3	352820	2023.03.30	8	343000	2
3	005930	2023.03.20	5	200000	2
3	035250	2023.03.30	30	19000	1
4	009150	2023.03.06	10	151000	1
4	009150	2023.03.22	5	150700	2
4	009150	2023.03.28	2	155600	1
4	105560	2023.03.08	10	50300	1
4	105560	2023.03.16	10	48300	1
4	105560	2023.03.29	5	47800	2
4	051900	2023.03.20	5	571000	1
4	035420	2023.03.28	10	199600	1
4	068270	2023.03.13	5	154400	1
4	068270	2023.03.27	5	159200	2
